Id,Division,IsCompagnons,GuestId,Team
5979e05f201070a096f08df3d680c8ae49224f257a32fbaf41195ffe0bf208e1,BIS Grand Sud,OUI,63aad781114b3419a2804b9d593785f4,
f5a2c791165754ebde7f516a4b1bf15eaeabc8712b4ea40b6a3cc733565c1a84,BIS Grand Ouest,OUI,,
71ad28c4deaf5b5a2494354a8e092ce3cc387fc9209c61f018e4bd84f757e7d0,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
ef484f7e6f6d522e4b46284e275a37e1665cbe06ca9d1140fea44a56318a2a21,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,3e37fdcb40786b309f48d15c1fee63a153044b52c48fd439578efaed40deb1c4,
c28e1dd7397c4a79b701ade29ce2e943701969d85d24e5432b54053deceaaa29,Equans France Direction Ressources Humaines,NON,,
ffecdafa8ae83b4476d9875a65af96e224fda1e08ee703d5b11d66f9dce85f9a,BIS Grand Ouest,OUI,8dd13002b7fb82d0aafa199eb3fafc50f854c5db40766590f47026346b213fd4,
5d113d2e9aee4062a5ba5a3356286d256247814bccead418c76b4b8743636e9a,BIS Services Bâtiments & Infrastructures,OUI,,
f41d638365dc96707fdf46f6a371acbf7412300dcd4788bf4c07414e57edcd4b,MBU CEDE,OUI,,
fa2e55dc97b6a8336cbb87c4e5cf822f4d852a59dfe55fed184b4e476c01b0ca,BIS Services Bâtiments & Infrastructures,OUI,,
f424094b28c8bc50419fc36b05cfca307e4c505423eae2a4ad8eb98d96f52513,BIS Ile de France,OUI,06cbc44b4d9d06b9465859d65dec18d715266b2a275c593075d0bb4e16555722,
56e7b72471b6818e881700f2928fc6e30f132b52bd94dd12bbe4037d9fd4032e,BIS Services Bâtiments & Infrastructures,OUI,,
d177d1d6095b17d8abd1886929669853251f865877aa993846c6efb154d6056d,BIS Nord & Est,OUI,,
1bf867d4eda70e3e2791b397666ea139e3817b4e68439425e54d9989d7cb1d0c,"Infra Ener, Défense Marine Aéronautique, Ingénierie",OUI,,
c152d74d178ed97493e3a0456cd7654ba60e150a87a25ad2172e3274b89fb54c,"Infra Ener, Défense Marine Aéronautique, Ingénierie",NON,,
42e146843166b861c7546b005648cc821a6875abc39a88cc3f3f3e6facd3205c,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
a9e3a1e1b168a63c0d1bc3e040eff6cbf639cff85e7c3193f65dd2d70c23dfe2,BIS Grand Sud,OUI,,
3c0f62e42a0ffff6fa2da1446834565764a379d62e27f500ff0a48b54401e721,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
ad3aa40fc31e4658ef88683deaecafe14e284c4504677296a777dc9d81994030,MBU CEDE,OUI,,
182e33552f6ae48012b4014055c60b812d8b5411f5ae49e28beaa6a30a84cc1d,BIS Services Bâtiments & Infrastructures,OUI,54722fc4d6e02db57694638d14575893e0573d03eb4d5f8e6f1fd46d8bc0006b,
1f9fa805ed91734f1bd6846646e30047bef874c99b3e33c4ed2c163974984b20,BIS Ile de France,OUI,,
79cc6a31ddd47b8122c3cfc163030e7b6535dbb0ed625b518cb44dfbde87d786,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
74a2b487625286f808c3c78d2232af8124e3cbff98dace39585853630640db04,MBU CEDE,OUI,,
4295f3c1ce452dda25e6bb458418589c05085a34d96cea13e97babaa53adf754,BIS Services Bâtiments & Infrastructures,OUI,,
cc325ee0a56093020a67771887d47c80b639c6d8960a3c8c33f3e8050a873b14,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
3a39e59035fe1ee473e6ecb9dab8f5493b6450f8deb16b3e47f92a164acf3d08,Transport,OUI,,
b6df9d029dd22dcdc6dfa6ac7fbb3514701b8ef23db1e5efca6d33499b96f819,BIS Ile de France,OUI,cddbeea2c2cede845f9661d042f5639416c3633ce80619e12d3be118d130d58f,
73af3fc3a1244efbc1baa7e3ace8ef5aa0a54ecf0857bdcc528aad26aa3a8ea1,BIS Grand Ouest,OUI,a0de4b5919c552bfb4c599123b059d6f,
211ec6167fe0714dcbd3a5224802857ac1b02405e6411256ff759a0552538175,BIS Ile de France,OUI,,
2c259d2c2273acf570ebd1d57ce109ed986eb1c4c086233a2ffef64390425e95,"Réfrigération, Sécurité Incendie & Décarbonation",OUI,,
